File Name,Size (KB),Type,Modified Time,Path
ror2-junk-slice2_text_assets_all.bundle,232.92,.bundle,2025-05-14 15:15:09.553921,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-slice2_text_assets_all.bundle
ror2-junk-sniper_bin_assets_all.bundle,12.24,.bundle,2025-05-14 15:15:07.608312,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-sniper_bin_assets_all.bundle
ror2-junk-sniper_text_assets_all.bundle,209.12,.bundle,2025-05-14 15:15:09.501893,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-sniper_text_assets_all.bundle
ror2-junk-soulcorruptor_text_assets_all.bundle,2.38,.bundle,2025-05-14 15:15:07.417014,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-soulcorruptor_text_assets_all.bundle
ror2-junk-souljar_text_assets_all.bundle,2.38,.bundle,2025-05-14 15:15:07.420034,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-souljar_text_assets_all.bundle
ror2-junk-space_scenes_all.bundle,1405.89,.bundle,2025-05-14 15:15:24.485354,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-space_scenes_all.bundle
ror2-junk-space_text_assets_all.bundle,4.26,.bundle,2025-05-14 15:15:07.473795,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-space_text_assets_all.bundle
ror2-junk-squidturret_text_assets_all.bundle,112.3,.bundle,2025-05-14 15:15:09.156435,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-squidturret_text_assets_all.bundle
ror2-junk-squid_bin_assets_all.bundle,2934.23,.bundle,2025-05-14 15:15:24.590863,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-squid_bin_assets_all.bundle
ror2-junk-squid_text_assets_all.bundle,8.04,.bundle,2025-05-14 15:15:07.815471,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-squid_text_assets_all.bundle
